Company|^|Reference ID Company|^|Verification Status|^|Verification Number|^|Verification Date|^|Accounting Date for Operational Transaction|^|Cost Center|^|Supplier|^|Trans Detail|^|Line Description|^|Spend Category|^|Purchase Order|^|Trans Status|^|Line Split|^|Line Amount|^|Supplier Contract
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012794"|^|"2025-05-13-07:00"|^|"2025-06-01-07:00"|^|"1330 Regional Operations - Northeast"|^|"Regus Management Group LLC"|^|"04/30/2025 REGUS MANAGEMENT GRO 114.60 USD"|^|""|^|"Office Rent"|^|""|^|"Approved"|^|"0"|^|"114.6"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012794"|^|"2025-05-13-07:00"|^|"2025-06-01-07:00"|^|"1330 Regional Operations - Northeast"|^|""|^|"04/30/2025 AMTRAK .COM 450.90 USD"|^|""|^|"Miscellaneous Travel"|^|""|^|"Approved"|^|"0"|^|"450.9"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012794"|^|"2025-05-13-07:00"|^|"2025-06-01-07:00"|^|"1330 Regional Operations - Northeast"|^|""|^|"05/02/2025 VANILLAGIFT.COM 53.95 USD"|^|""|^|"Event Marketing"|^|""|^|"Approved"|^|"0"|^|"53.95"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012827"|^|"2025-05-16-07:00"|^|"2025-06-01-07:00"|^|"1607 University Events"|^|""|^|"05/10/2025 TST* KNEADERS BAKERY 230.75 USD"|^|"Breakfast for FA Summit"|^|"Meeting Food & Beverage"|^|""|^|"Approved"|^|"0"|^|"230.75"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012827"|^|"2025-05-16-07:00"|^|"2025-06-01-07:00"|^|"1607 University Events"|^|""|^|"05/09/2025 CAFE ZUPAS 33.74 USD"|^|"Lunch for FA Summit"|^|"Meeting Food & Beverage"|^|""|^|"Approved"|^|"0"|^|"33.74"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012827"|^|"2025-05-16-07:00"|^|"2025-06-01-07:00"|^|"1607 University Events"|^|""|^|"05/09/2025 CAFE ZUPAS 388.59 USD"|^|"Lunch for FA Summit"|^|"Meeting Food & Beverage"|^|""|^|"Approved"|^|"0"|^|"388.59"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012827"|^|"2025-05-16-07:00"|^|"2025-06-01-07:00"|^|"1607 University Events"|^|""|^|"05/08/2025 EZCATER*HRUSKAS KOLA 508.93 USD"|^|"Breakfast for FA Summit"|^|"Meeting Food & Beverage"|^|""|^|"Approved"|^|"0"|^|"508.93"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012827"|^|"2025-05-16-07:00"|^|"2025-06-01-07:00"|^|"1607 University Events"|^|""|^|"05/08/2025 EINSTEIN BROS-ONLINE 123.32 USD"|^|"FA Summit breakfast 5/7"|^|"Meeting Food & Beverage"|^|""|^|"Approved"|^|"0"|^|"123.32"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012849"|^|"2025-05-19-07:00"|^|"2025-06-01-07:00"|^|"1760 Craft (WGUC)"|^|""|^|"05/15/2025 FWDA24* 2025 WORKFOR 5,000.00 USD"|^|""|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"5000"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012849"|^|"2025-05-19-07:00"|^|"2025-06-01-07:00"|^|"1760 Craft (WGUC)"|^|""|^|"05/13/2025 PY *WILD DUNES VACAT 1,776.65 USD"|^|""|^|"Lodging (Hotel, Motel, Etc)"|^|""|^|"Approved"|^|"0"|^|"1776.65"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012849"|^|"2025-05-19-07:00"|^|"2025-06-01-07:00"|^|"1760 Craft (WGUC)"|^|""|^|"05/13/2025 FEDEX489840960 46.11 USD"|^|""|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"46.11"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012851"|^|"2025-05-20-07:00"|^|"2025-06-01-07:00"|^|"1333 Marketing Creative"|^|""|^|"05/13/2025 SP RED FINCH RENTAL 53.74 USD"|^|""|^|"Marketing Services"|^|""|^|"Approved"|^|"0"|^|"53.74"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012851"|^|"2025-05-20-07:00"|^|"2025-06-01-07:00"|^|"1333 Marketing Creative"|^|""|^|"05/14/2025 WWW.CAFERIO.COM 348.08 USD"|^|""|^|"Marketing Services"|^|""|^|"Approved"|^|"0"|^|"348.08"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012851"|^|"2025-05-20-07:00"|^|"2025-06-01-07:00"|^|"1333 Marketing Creative"|^|""|^|"05/14/2025 IN *SIMPLY PRIVYS LL 1,044.71 USD"|^|""|^|"Marketing Services"|^|""|^|"Approved"|^|"0"|^|"1044.71"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012851"|^|"2025-05-20-07:00"|^|"2025-06-01-07:00"|^|"1333 Marketing Creative"|^|""|^|"05/16/2025 EINSTEIN BROS-ONLINE 129.40 USD"|^|""|^|"Marketing Services"|^|""|^|"Approved"|^|"0"|^|"129.4"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012851"|^|"2025-05-20-07:00"|^|"2025-06-01-07:00"|^|"1333 Marketing Creative"|^|""|^|"05/15/2025 IN *URBAN MODEL AND 500.00 USD"|^|""|^|"Marketing Services"|^|""|^|"Approved"|^|"0"|^|"500"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012851"|^|"2025-05-20-07:00"|^|"2025-06-01-07:00"|^|"1333 Marketing Creative"|^|""|^|"05/09/2025 PAYPAL *BLUSHAWAYMA 690.95 USD"|^|""|^|"Marketing Services"|^|""|^|"Approved"|^|"0"|^|"690.95"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012851"|^|"2025-05-20-07:00"|^|"2025-06-01-07:00"|^|"1333 Marketing Creative"|^|""|^|"05/09/2025 SP RED FINCH RENTAL 290.13 USD"|^|""|^|"Marketing Services"|^|""|^|"Approved"|^|"0"|^|"290.13"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012851"|^|"2025-05-20-07:00"|^|"2025-06-01-07:00"|^|"1333 Marketing Creative"|^|""|^|"05/09/2025 RED FINCH R 42.98 USD"|^|""|^|"Marketing Services"|^|""|^|"Approved"|^|"0"|^|"42.98"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012851"|^|"2025-05-20-07:00"|^|"2025-06-01-07:00"|^|"1333 Marketing Creative"|^|""|^|"05/16/2025 SP RED FINCH RENTAL 300.86 USD"|^|""|^|"Marketing Services"|^|""|^|"Approved"|^|"0"|^|"300.86"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012851"|^|"2025-05-20-07:00"|^|"2025-06-01-07:00"|^|"1333 Marketing Creative"|^|""|^|"05/13/2025 SP RED FINCH RENTAL 96.72 USD"|^|""|^|"Marketing Services"|^|""|^|"Approved"|^|"0"|^|"96.72"|^|""
"WGU Labs"|^|"WGULABS"|^|"Approved"|^|"PC-10012889"|^|"2025-05-23-07:00"|^|"2025-06-01-07:00"|^|"1516 WGU Labs - Accelerator"|^|""|^|"05/13/2025 OPENAI *CHATGPT SUBS 214.50 USD"|^|"ChatGPT Pro-Angela Lankford"|^|"Software"|^|""|^|"Approved"|^|"0"|^|"214.5"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012895"|^|"2025-05-26-07:00"|^|"2025-06-01-07:00"|^|"1402 Accreditation & Compliance"|^|""|^|"05/22/2025 AMAZON MKTPL*NN1FO5J 64.32 USD"|^|"Monitor Rizers -3 / School Compliance Team"|^|"Office Supplies"|^|""|^|"Approved"|^|"0"|^|"64.32"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012899"|^|"2025-05-27-07:00"|^|"2025-06-01-07:00"|^|"1488 IPM Transformation PM"|^|""|^|"05/19/2025 GOURMANDISE 603.46 USD"|^|"IPM: breakfast 5/13/25"|^|"Meeting Food & Beverage"|^|""|^|"Approved"|^|"0"|^|"603.46"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012901"|^|"2025-05-27-07:00"|^|"2025-06-01-07:00"|^|"1607 University Events"|^|"WGU Procurement Only"|^|"05/22/2025 ATHLETA US 1292 58.46 USD"|^|"Misc supplies for School of Business Summit"|^|"Meeting Equipment & Supplies"|^|"PO-100037649"|^|"Approved"|^|"0"|^|"58.46"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012905"|^|"2025-05-27-07:00"|^|"2025-06-01-07:00"|^|"1115 Facilities Management"|^|""|^|"04/17/2025 FCB*CACHET AT LEGAC 432.39 USD"|^|"Condo HOA"|^|"Equipment Repairs & Maintenance"|^|""|^|"Approved"|^|"0"|^|"432.39"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012905"|^|"2025-05-27-07:00"|^|"2025-06-01-07:00"|^|"1115 Facilities Management"|^|""|^|"05/04/2025 GOOGLE *YOUTUBE TV 89.18 USD"|^|"Condo: Internet/Cable - 301"|^|"Utilities (Electric, Gas, Etc)"|^|""|^|"Approved"|^|"0"|^|"89.18"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012905"|^|"2025-05-27-07:00"|^|"2025-06-01-07:00"|^|"1115 Facilities Management"|^|""|^|"05/04/2025 GOOGLE *YOUTUBE TV 89.18 USD"|^|"Condo: Internet/Cable - 403"|^|"Utilities (Electric, Gas, Etc)"|^|""|^|"Approved"|^|"0"|^|"89.18"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012905"|^|"2025-05-27-07:00"|^|"2025-06-01-07:00"|^|"1115 Facilities Management"|^|""|^|"05/04/2025 GOOGLE *YOUTUBE TV 89.18 USD"|^|"Condo: Internet/Cable - 2095"|^|"Utilities (Electric, Gas, Etc)"|^|""|^|"Approved"|^|"0"|^|"89.18"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012908"|^|"2025-05-27-07:00"|^|"2025-06-01-07:00"|^|"1115 Facilities Management"|^|""|^|"05/17/2025 SQ *ALLIANCE TRANSPO 2,062.50 USD"|^|"UTA Shuttle Service"|^|"Other Employee Benefits"|^|""|^|"Approved"|^|"0"|^|"2062.5"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012908"|^|"2025-05-27-07:00"|^|"2025-06-01-07:00"|^|"1115 Facilities Management"|^|""|^|"05/11/2025 SQ *ALLIANCE TRANSPO 2,062.50 USD"|^|"UTA Shuttle Service"|^|"Other Employee Benefits"|^|""|^|"Approved"|^|"0"|^|"2062.5"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012921"|^|"2025-05-28-07:00"|^|"2025-06-01-07:00"|^|"1760 Craft (WGUC)"|^|"HubSpot"|^|"05/24/2025 HUBSPOT INC. 171.60 USD"|^|""|^|"Marketing Automation & Nurturing"|^|""|^|"Approved"|^|"0"|^|"171.6"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012925"|^|"2025-05-28-07:00"|^|"2025-06-01-07:00"|^|"1330 Regional Operations - Northeast"|^|""|^|"05/20/2025 GREATER BOSTON CHAMB 18,630.00 USD"|^|""|^|"Sponsorships"|^|""|^|"Approved"|^|"0"|^|"18630"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012925"|^|"2025-05-28-07:00"|^|"2025-06-01-07:00"|^|"1330 Regional Operations - Northeast"|^|""|^|"05/23/2025 IC* INSTACART*SUBSCR 10.59 USD"|^|""|^|"Food - Business"|^|""|^|"Approved"|^|"0"|^|"10.59"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012925"|^|"2025-05-28-07:00"|^|"2025-06-01-07:00"|^|"1330 Regional Operations - Northeast"|^|"Regus Management Group LLC"|^|"05/16/2025 REGUS MANAGEMENT GRO 459.60 USD"|^|""|^|"Office Rent"|^|""|^|"Approved"|^|"0"|^|"459.6"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012925"|^|"2025-05-28-07:00"|^|"2025-06-01-07:00"|^|"1330 Regional Operations - Northeast"|^|""|^|"05/19/2025 ADOBE  *ADOBE 25.78 USD"|^|""|^|"Office Supplies"|^|""|^|"Approved"|^|"0"|^|"25.78"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012927"|^|"2025-05-28-07:00"|^|"2025-06-01-07:00"|^|"1402 Accreditation & Compliance"|^|""|^|"05/24/2025 AMAZON MKTPL*NZ5IH46 279.88 USD"|^|"Amazon Book Order - L. Kavlie required reading"|^|"Learning Resources"|^|""|^|"Approved"|^|"0"|^|"279.88"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012928"|^|"2025-05-28-07:00"|^|"2025-06-01-07:00"|^|"1313 Regional Organizations - Administration"|^|"WGU Procurement Only"|^|"05/15/2025 WESTIN LONG BEACH HO 53,700.00 USD"|^|"Blanket PO for Annual Regional Operations Retreat 2025 in Long Beach, CA - September 30th - October 2nd.  $200,000."|^|"Lodging (Hotel, Motel, Etc)"|^|"PO-100037542"|^|"Approved"|^|"0"|^|"53700"|^|""
